area,cement_kg,steel_kg,labor_hours,location_index,total_cost
2163,300,49873,650,1,1898829
2781,325,45251,970,0,2292888
2154,327,48051,846,2,2148481
2463,352,42384,662,1,2297080
2329,357,42294,838,1,2121256
2838,308,43238,658,1,2433324
2296,359,49129,722,1,2147789
2208,358,49882,929,0,1910194
2200,343,46857,700,1,2052785
2106,321,44816,884,1,1935907
1772,307,43098,491,1,1613505
2568,357,48487,563,2,2405660
2082,348,43737,734,2,2050505
1509,341,44189,714,0,1376806
2279,326,44765,637,2,2244885
2234,338,43222,482,2,2190538
1448,318,48038,508,0,1370319
1117,324,45242,577,0,1020920
2057,337,48549,649,1,1902408
1483,320,45899,966,1,1569103
1463,323,46323,490,0,1256596
2798,323,42410,738,1,2484903
2431,359,44999,568,1,2181892
2295,359,44945,538,1,2065079
1936,318,46786,916,0,1738258
2653,349,42877,977,2,2492788
2320,346,42786,583,2,2236891
1363,301,44109,569,0,1204291
2091,313,47446,761,0,1853212
2436,352,47835,643,1,2199432
1498,331,43986,537,0,1360518
2960,341,42878,427,0,2497550
801,331,49300,918,0,833115
1441,327,43607,797,0,1312162
2389,347,47709,732,1,2174183
1654,338,49356,716,1,1532745
2559,339,44403,962,0,2220776
2461,341,42070,825,0,2181582
1953,346,44310,535,2,1906099
1876,339,46401,666,2,1807288
2507,312,48701,506,0,2121278
2495,311,45295,959,2,2329724
2533,307,49495,537,2,2360862
2239,314,42761,446,1,1983568
1635,325,46683,767,1,1687070
1002,311,44121,405,1,1031919
922,342,45582,922,2,1096000
1200,350,48285,928,0,1119582
1566,345,47704,671,1,1540907
1093,326,46197,465,2,1232285
997,317,43629,819,0,1074540
2730,344,47700,738,1,2511387
2991,335,49232,897,2,2817730
1408,348,46288,868,1,1493187
1947,350,49096,730,2,1929738
986,326,43085,530,1,1016911
2594,308,49699,929,2,2420736
1459,354,49408,837,0,1432659
2755,338,49882,642,1,2460907
2169,300,44457,862,1,2022114
2786,306,46395,749,2,2558839
2334,325,45266,416,0,2032445
946,306,42453,865,0,998671
2534,351,44621,762,1,2256500
2643,306,42618,609,2,2481285
1288,307,42636,924,1,1374612
2759,315,44348,819,2,2528870
2463,302,46874,532,0,2128649
1440,344,47575,413,1,1378607
2602,309,45036,443,2,2421312
2769,349,44249,776,0,2491610
2998,306,44721,694,2,2905055
2238,320,44349,795,1,2131646
2434,352,48140,503,2,2283238
1062,336,47743,844,1,1171886
2587,330,46432,461,0,2204644
2991,322,48175,964,2,2924104
1423,356,43994,811,0,1329669
1816,326,49265,720,0,1597313
1680,355,48103,530,1,1599997
2849,321,47878,598,1,2624023
2127,338,44820,435,0,1761549
1252,356,49358,615,1,1213740
1983,326,49708,985,0,1768308
2856,353,43071,705,1,2487903
2482,348,44031,966,1,2253044
1954,303,47369,411,2,1912305
1203,323,43249,482,2,1290265
2999,322,43295,431,1,2541136
2901,347,48808,807,0,2538714
2496,318,45556,485,0,2131528
1427,341,42327,810,0,1372464
1386,302,42796,962,1,1390379
2448,326,47299,655,1,2149075
2243,302,44861,640,0,1975980
2245,327,46760,851,2,2228480
903,316,44793,400,2,967457
1053,330,45094,681,0,1011514
2296,309,44977,998,1,2125534
898,348,42962,913,1,1071253
2684,321,47725,518,0,2304731
2719,329,47489,904,2,2638135
1677,348,43268,479,0,1417065
1137,320,49969,618,0,1019710
1756,335,47279,916,0,1590948
2504,352,42372,865,2,2371534
960,322,46380,917,0,990560
2403,337,44568,901,2,2270052
1197,311,49617,457,1,1245571
2100,324,48840,736,2,2135475
1615,353,46902,909,2,1751612
2327,356,46742,825,0,2074078
2719,319,45693,959,1,2481361
2215,348,43604,769,0,1957005
1958,348,48279,810,2,1912813
2018,341,42095,831,2,2009731
1200,306,49286,595,0,1115995
1439,328,49541,776,1,1386486
1259,347,46369,764,2,1463057
1754,328,45941,804,2,1780782
1269,312,49021,891,2,1362465
1845,302,48993,465,1,1678733
2493,301,43200,790,0,2141644
2885,315,45944,482,1,2482729
1362,329,47868,880,1,1465403
2599,337,46879,628,2,2426835
2874,305,47396,624,1,2595478
1025,344,49305,512,2,1165103
1597,306,42131,584,1,1537744
1759,304,45115,911,1,1708426
2304,355,49290,572,0,1958679
1252,306,49303,922,1,1371228
1615,333,43390,604,0,1466501
1458,331,48516,937,2,1566158
1346,348,43149,718,2,1491834
2015,312,45510,558,0,1819257
816,329,47906,677,2,1027742
2043,324,48126,547,2,2042383
1869,320,45647,482,1,1688305
2946,359,42807,818,0,2497649
2568,358,46839,937,2,2447235
1860,320,42050,982,0,1706667
1101,327,45208,948,1,1269039
980,347,47277,791,2,1145231
1406,357,42055,532,2,1472467
1499,319,45664,641,0,1402964
1792,333,42743,850,2,1847896
1939,304,48571,599,0,1666378
990,317,46538,516,2,1051773
1780,359,48030,618,1,1731296
2806,338,48469,704,1,2454722
1984,342,48783,642,0,1718645
927,356,47757,691,2,1104072
2865,356,44876,700,2,2717459
2616,310,42079,787,0,2319793
2558,353,48617,987,1,2373728
1369,316,46472,608,1,1397886
2146,347,45940,713,1,2052978
2695,344,44966,425,0,2238862
1425,321,48476,478,1,1336837
2486,336,49342,527,0,2153393
954,319,45728,812,1,1130972
2209,347,46536,536,1,1961661
1584,359,42125,733,0,1343856
1045,353,47813,947,2,1280311
2300,353,42218,787,2,2287488
2505,347,42947,970,2,2426118
1337,347,46373,629,1,1449088
2690,345,49652,820,1,2396357
2641,305,42594,523,2,2399799
1720,333,47030,487,1,1556964
1324,313,48114,540,1,1292016
2329,347,42140,450,2,2180264
835,322,44893,966,0,843300
1484,319,45055,804,2,1624622
819,312,43630,736,2,1035753
1199,346,42876,765,0,1082046
1771,343,47825,657,1,1700819
2706,340,46205,787,2,2522802
1966,331,47171,444,2,1887945
1915,325,49782,668,1,1831193
1633,349,44660,710,1,1620271
2623,352,49821,677,0,2302210
2782,313,48856,874,1,2523420
1653,351,48089,966,2,1689218
850,356,45390,544,1,895208
1374,335,47318,634,1,1348641
1948,307,46891,535,0,1762748
2997,339,44029,844,0,2561449
2515,321,46824,752,2,2393220
1481,321,49213,793,2,1502723
1637,315,44552,674,1,1581631
1877,326,45611,783,2,1876789
2395,355,47633,722,2,2276452
804,359,43040,582,1,924185
1926,359,42314,972,1,1823094
2019,309,49603,839,1,1973454
1573,324,45459,462,0,1333565
1676,330,46172,433,0,1516819
1791,320,45025,876,1,1648694
846,326,44946,486,0,810086
1068,316,49538,609,0,1027468
1169,332,45236,861,0,1110536
1435,330,45680,480,2,1478957
1929,349,47736,721,1,1791443
2493,341,49191,814,1,2301557
2482,325,46807,589,2,2336848
1456,320,45106,632,0,1422557
919,335,43537,791,1,945574
1630,300,45872,568,0,1447233
2610,303,43867,842,2,2454896
1881,303,46949,567,0,1644273
2774,325,49628,630,2,2559620
2169,303,43161,549,2,2047040
1540,348,45920,949,0,1417639
916,308,47693,785,0,945688
2653,329,45882,780,1,2380781
1950,350,44756,674,2,1915689
2731,344,43912,461,0,2307878
1812,303,49738,866,0,1606697
2464,304,42264,927,1,2306490
1881,344,46428,549,1,1688510
1433,322,48331,541,1,1400200
1312,315,47182,515,2,1393162
1919,321,46915,464,1,1742090
1941,336,43302,828,2,1884787
1359,307,47661,709,1,1349453
1287,347,43194,829,2,1365451
1696,332,43526,560,1,1584153
2012,354,45604,705,2,2012305
1503,359,46394,760,1,1476217
2270,337,44248,677,1,2135376
1380,342,43158,695,0,1279169
953,315,46367,950,2,1211451
2479,304,46630,568,0,2152498
1796,315,45513,858,2,1899056
2043,306,49254,979,0,1785169
1892,350,44078,406,1,1690558
1808,300,43144,996,0,1666309
2941,308,42068,531,1,2618640
2573,317,45717,987,2,2484640
1757,344,49026,746,1,1676581
1252,357,45008,995,0,1274469
2027,346,42826,652,2,1956696
1350,302,49663,809,0,1242654
2435,323,49067,942,1,2283497
2112,327,43169,754,1,2080767
2557,309,42983,963,0,2256962
1156,308,49500,767,2,1266242
2870,312,46576,983,0,2484511
2585,347,45977,910,1,2353652
2581,334,45334,932,2,2538735
2431,353,44340,927,0,2133981
1815,322,44015,927,1,1773130
2148,346,43452,801,2,2095647
1315,316,44133,574,0,1121356
1135,345,43039,477,2,1208568
2582,306,48871,839,1,2229864
1296,351,46723,948,0,1257377
1695,315,46213,631,0,1527048
1651,352,48413,799,1,1560761
2487,339,45466,612,1,2206391
2731,335,45026,592,1,2357426
2368,319,48998,971,0,1998633
1756,323,46257,666,1,1583466
2436,346,44747,525,0,2108174
2091,304,49271,781,0,1833413
2240,344,47772,943,2,2213045
1991,305,46262,901,1,1994923
1866,327,46395,802,1,1824128
1084,358,48171,660,2,1248868
811,304,45495,786,0,801512
2430,348,45855,811,0,2206155
1553,338,42561,745,0,1474318
2882,337,49026,493,1,2570609
889,301,44203,727,0,875824
1575,342,47443,499,2,1535417
2425,338,45419,860,0,2209307
1217,353,43144,714,1,1281890
914,320,44699,424,1,926291
1416,339,43551,893,0,1318866
1625,336,48964,752,0,1411017
2449,358,46021,516,1,2222920
2316,317,42560,598,0,2001030
1212,353,43187,678,2,1347056
1528,347,45133,981,1,1586978
1475,345,45411,478,0,1333488
2692,311,43689,823,0,2294369
1922,316,46407,753,0,1709759
2371,336,44423,925,2,2323682
1777,345,43369,940,1,1755599
1808,337,48293,876,2,1763765
2943,314,48007,409,0,2406399
2487,306,48728,958,2,2434239
836,313,42580,902,0,901212
2348,349,42976,659,0,2112431
1672,300,46272,923,1,1564324
2621,337,48497,995,1,2462380
2096,302,46609,405,0,1796377
2909,336,44356,434,0,2382690
1395,343,42118,574,0,1163787
2703,330,43542,841,1,2498499
1528,342,46862,976,1,1490209
2165,312,45043,546,0,1795596
1196,347,42972,968,1,1294723
1498,317,42915,592,0,1336458
2435,316,48621,412,2,2279793
1195,316,43437,929,1,1283472
875,310,42586,645,0,1016032
1064,319,42350,513,2,1210160
2619,309,47625,632,0,2274791
1517,328,48338,721,2,1534920
1650,347,49354,937,1,1707803
2190,333,47569,525,1,1953140
943,316,46591,712,0,871739
1684,353,44562,910,1,1640731
1195,351,48839,883,1,1277039
2292,341,43870,680,2,2167945
1967,312,42272,682,1,1786005
1862,343,44927,791,2,1824554
2956,346,48195,922,2,2781605
1865,338,46358,781,2,1897752
2009,326,45439,615,1,1883162
1433,353,48276,941,0,1279295
1956,352,45041,515,0,1648375
2038,325,49392,908,1,1979749
1532,327,48453,899,2,1605384
1034,312,47692,670,1,1091701
1550,311,45948,839,0,1559260
1753,343,48159,690,2,1649635
2342,327,43764,438,1,2075464
1997,301,46290,423,2,1937275
2476,336,47882,442,2,2241701
1991,356,47562,569,0,1722412
2216,356,48446,739,2,2083232
2017,333,47167,568,1,1877456
2340,322,43770,937,2,2246322
2876,357,47240,871,2,2676038
2245,351,43522,542,1,2071138
2319,344,42831,500,0,2004488
2188,328,42561,974,0,2014524
2656,334,45540,874,1,2508729
2165,310,46136,710,2,2097797
1299,347,43479,983,1,1463331
2480,332,48677,459,1,2206951
1310,350,46466,428,1,1321628
1016,310,43205,930,0,1017180
2124,308,48660,472,2,2055883
1955,313,42656,793,1,1821170
2627,308,45940,793,0,2347165
2610,338,42589,880,0,2342710
2005,347,46326,872,2,1989700
890,302,46904,712,1,982001
1513,328,43371,837,2,1551327
2681,318,46574,723,1,2456459
838,335,47328,486,0,831112
972,331,48818,758,0,889000
1452,306,45751,596,2,1609249
1553,354,48421,784,1,1541620
2043,327,47868,517,2,1947322
1881,343,45759,897,1,1865861
2483,317,44100,861,2,2352757
1255,359,43884,895,0,1270686
1628,304,47129,993,2,1662100
1694,322,49825,646,1,1594386
2184,354,47858,633,2,2091914
2758,321,42747,816,1,2462722
2796,325,42463,866,2,2593659
989,341,42753,881,1,1064382
1304,311,47936,764,1,1289727
2014,339,42582,552,1,1819354
2331,318,44205,671,2,2291030
1623,346,46114,791,2,1700179
1728,300,46150,946,0,1586811
1733,302,46027,829,1,1710152
1940,326,47846,588,0,1685917
933,317,46816,651,0,857426
2905,349,49188,794,1,2524883
1484,329,45353,618,0,1381226
2652,301,44808,993,2,2428445
1614,304,47659,589,0,1353534
1972,328,49162,633,2,1950746
879,332,49584,631,1,950095
1002,341,48951,757,1,1147903
2052,319,48866,877,1,1905628
2499,329,48428,974,0,2253764
2050,341,45603,828,1,1918388
2482,304,47651,636,1,2260225
2355,349,48654,432,2,2201212
2894,320,45913,612,0,2483392
2056,357,49165,971,0,1872515
2349,314,43419,778,1,2169516
1966,319,44167,401,0,1618939
2196,307,44144,849,1,2050147
1270,348,44167,968,2,1461549
1835,330,43560,826,0,1651473
2153,311,43176,678,0,1872781
1767,320,43268,613,2,1662379
1157,329,47891,684,0,1160343
1467,326,45587,942,1,1414476
1172,343,48536,673,0,1063295
1831,325,43166,410,0,1527949
1945,332,45575,446,2,1881195
2171,325,44841,914,2,2157432
889,325,43870,837,1,1032204
1339,335,45929,983,0,1324333
1668,339,44267,826,0,1607149
840,300,44886,831,2,1042417
1539,358,42159,529,1,1417553
2746,314,49243,421,0,2289883
2024,349,44658,788,1,1843454
1728,300,45763,534,0,1491513
2836,310,46734,931,2,2597620
1724,354,43055,619,2,1683219
2381,301,48920,732,2,2186768
1189,300,42333,529,2,1336659
2417,330,45596,431,2,2246414
1055,343,49607,824,2,1324926
1508,315,42891,697,1,1521367
2638,353,44987,903,2,2573608
2744,321,48112,756,1,2460277
809,341,46447,854,2,1064196
1597,317,43362,800,0,1412965
1676,346,42925,958,0,1527374
1828,316,47519,854,0,1654452
1815,329,44443,433,1,1572536
2624,309,49369,647,2,2423662
1173,334,44577,441,1,1187405
2993,357,45980,522,2,2696738
1023,320,49260,426,0,887713
2062,315,49959,861,1,1923323
2602,305,44405,970,2,2532692
1652,302,43419,546,1,1568290
862,340,44875,895,1,978823
2040,342,42059,885,0,1831187
1488,320,44524,859,0,1425503
2284,312,45797,527,0,2018149
2433,317,44659,775,0,2097977
2952,357,46096,482,0,2476337
1310,353,43578,934,2,1519049
1184,359,46406,922,2,1380334
1204,323,48311,502,0,1014435
1317,326,48335,918,0,1213674
1275,353,49201,761,0,1151664
2800,303,45105,655,1,2469876
2468,321,49855,646,0,2143127
2693,323,49584,591,2,2587969
2260,339,42707,934,2,2211872
1513,344,47277,713,1,1507903
882,309,43780,675,2,1117118
1968,301,47619,772,0,1822952
2701,339,44413,843,1,2507532
2848,305,47459,594,1,2479848
850,347,46953,657,2,960910
1484,317,45406,981,0,1372359
1516,316,49750,759,0,1393799
2269,337,48470,947,0,1989145
1248,344,44161,507,1,1140160
1680,322,48940,423,2,1588825
1287,345,47014,864,2,1574680
2623,329,49585,421,2,2393043
2881,357,45539,901,0,2597410
2942,320,49310,900,1,2642794
2374,309,42608,992,1,2256941
1049,355,42308,806,2,1215221
1473,342,48544,729,2,1546520
1237,312,47439,685,1,1285863
2965,311,46307,546,2,2681258
1570,308,44364,783,1,1472728
1067,303,42184,410,1,1014708
2784,338,47324,675,2,2543302
1877,323,47483,967,1,1820086
1035,353,47335,702,1,995983
1188,333,42245,603,2,1307135
1562,338,42238,744,2,1682838
2648,340,47924,665,2,2447790
1423,304,47510,421,1,1309819
2052,314,42519,935,2,2146918
1377,349,47709,495,2,1496419
2922,303,45907,844,1,2647519
1234,350,42276,662,1,1203951
2950,351,46028,983,2,2807945
1563,357,47101,782,2,1578934
2129,338,48345,949,1,1948586
2945,357,46309,791,1,2659289
2158,307,42605,939,0,1909896
1246,348,46573,491,1,1115894
2817,344,46603,965,1,2597798
2131,323,47194,558,0,1910278
1048,352,46053,627,2,1218986
965,327,48812,872,0,942690
2158,354,44712,771,1,1895752
1819,342,48073,775,0,1639424
1341,326,42141,952,0,1250869
1558,300,45661,436,0,1308103
2928,333,44369,436,0,2353348
2980,316,43717,500,0,2598021
1596,336,46556,942,0,1431795
937,337,48850,589,2,998055
2153,325,46765,911,0,2010258
2675,356,49313,489,0,2262084
868,323,48197,405,0,790167
2900,338,45427,538,0,2464512
2273,359,44324,494,1,2061366
1004,320,43844,785,0,991245
2973,329,47714,522,0,2428683
842,346,42399,684,0,752726
2706,350,46763,765,2,2503527
2958,347,44563,889,0,2540501
1560,356,43522,724,1,1496950
2942,312,43334,806,2,2746161
2794,336,47390,918,1,2526360
2735,302,44623,476,2,2468727
1699,331,47568,633,2,1726842
1159,334,48255,985,0,1181416
2519,318,42238,883,0,2171484
1080,313,45215,863,2,1188374
2687,347,49541,670,0,2314913
1466,321,47139,866,0,1345731
892,316,45647,868,2,1149368
1471,358,47408,946,2,1539380
2769,303,43616,669,1,2408222
860,344,48340,777,2,1033767
1828,339,44429,576,1,1724982
2289,318,45652,673,1,2068683
1403,336,43721,426,0,1224342
1481,301,49846,975,0,1375073
2228,314,47836,459,2,2145458
1323,301,47611,616,2,1425563
2768,310,48307,669,1,2392400
1901,344,48749,515,1,1790933
2553,322,43272,644,0,2221147
2636,309,45139,484,2,2479802
2894,302,48998,998,2,2708363
1944,304,47140,849,2,1897963
1879,302,44878,935,2,1905653
906,337,43535,488,0,851755
847,312,48740,948,0,946941
1136,341,49557,906,1,1243831
1849,318,42535,807,0,1668207
2080,339,48254,670,1,1913399
2855,349,42948,923,0,2491107
1424,334,46958,893,0,1319479
2690,323,44642,847,2,2575961
2076,323,45941,942,1,1897334
2515,316,43021,749,1,2282336
1102,339,48603,727,1,1201017
1438,309,49245,685,0,1250989
855,301,42433,434,2,1087326
1525,343,43403,932,0,1374025
1325,322,49819,887,2,1433247
1273,305,45511,886,0,1266697
827,301,44935,544,1,962545
2925,320,46878,923,0,2563161
1164,354,49506,545,1,1179407
1325,355,47083,902,2,1552251
2135,334,49591,926,1,1946453
1682,348,46264,671,1,1515584
1830,328,46804,933,1,1675462
1826,306,47060,494,1,1637043
2446,328,45333,846,2,2311128
1718,352,48870,814,0,1578715
2574,336,43602,656,0,2261947
2331,322,42228,661,0,2062753
2706,332,47280,486,0,2327296
2015,307,46522,835,1,1851099
2454,311,46217,969,2,2396411
1284,345,44196,507,2,1313580
2875,347,44899,418,0,2435484
1513,309,48848,764,0,1385668
1862,314,49910,778,2,1910137
2776,352,42110,559,2,2673223
2096,323,49824,499,1,1896090
2054,325,43244,664,2,1941407
2933,346,48023,448,2,2576542
925,341,46159,814,1,979625
1336,352,44685,458,1,1335810
2992,359,45801,582,1,2656755
2872,338,45867,846,2,2699801
2403,357,43377,700,2,2303660
866,302,49641,954,2,1139632
1032,301,47004,753,1,1018098
2956,305,43771,612,2,2756140
1969,320,47604,588,2,1933030
2958,308,42012,746,1,2563164
910,309,49077,536,0,872329
2293,335,47272,429,0,1876556
2881,358,46334,545,2,2661842
1422,302,45261,867,1,1436622
2341,340,42662,902,1,2124006
2105,323,47205,590,2,2043545
2561,321,45092,870,2,2483810
2775,348,42693,744,0,2361794
1676,313,45390,400,1,1580102
2789,341,43181,509,2,2540441
2112,344,45018,463,1,1947616
2260,343,49107,452,2,2115663
2533,326,43504,661,0,2237908
2405,332,43902,928,2,2284909
2326,359,46171,701,0,1979334
2430,321,42328,633,0,2051482
1960,328,43439,472,2,1889476
1558,318,49370,756,2,1610822
1042,318,47348,883,0,1045162
1863,305,48295,405,1,1633273
1028,344,45846,536,1,1015510
1719,318,46167,803,0,1619848
2046,312,42224,954,0,1866001
805,358,44520,969,2,1091331
1267,325,45714,605,2,1342656
2555,321,44407,809,0,2241032
874,320,48683,435,0,783324
803,335,42810,629,1,796717
2670,355,48752,626,1,2435597
1445,301,45117,661,1,1416870
917,346,48144,530,0,825112
2429,343,46773,976,0,2160290
2821,329,49412,847,1,2524283
1746,326,45290,585,1,1709552
2264,306,49781,585,2,2182056
993,319,46386,673,2,1092196
1646,349,47577,751,0,1425039
2215,330,44251,812,2,2167852
2258,322,47321,550,0,1943950
2468,312,46661,783,0,2177164
2233,316,44529,435,0,1886486
1941,303,47911,725,1,1785374
2610,356,46606,864,2,2508742
1523,313,42923,865,2,1641047
1024,319,48421,494,2,1201665
1331,359,45052,533,2,1430577
912,312,42015,561,1,919759
2987,302,45596,955,2,2813082
1358,325,44403,699,2,1432600
2848,325,46451,755,1,2503044
2937,317,46925,639,2,2608498
1453,331,46010,963,2,1688538
1119,313,44646,985,1,1184369
2373,346,43101,566,1,2126900
2628,302,44975,539,1,2340787
2717,300,43090,538,1,2406093
938,325,44906,634,0,771862
2826,323,43746,402,1,2453437
1701,348,46309,655,2,1802388
1489,334,43720,770,2,1555680
2839,313,42448,677,2,2708250
809,302,45012,915,2,1051372
1060,312,45504,611,0,972793
2742,346,43568,615,0,2345477
2473,349,45186,669,0,2136047
2860,313,48930,875,2,2684309
1991,320,45491,927,2,1969645
2419,325,44546,463,1,2080310
1120,302,46805,859,1,1215643
2142,350,46475,415,2,2023489
2436,339,49310,963,1,2346502
2794,303,48883,418,1,2437170
2743,335,48775,724,2,2485134
2838,350,47984,492,0,2407218
1918,342,43047,416,2,1842800
2404,300,46634,887,2,2298720
1035,339,49088,493,1,1079380
2769,346,49242,409,1,2444105
1133,332,46848,927,2,1253239
2708,306,46630,888,0,2340570
1175,352,46768,543,2,1325598
1960,351,43064,953,0,1731469
2370,351,45821,914,0,2092314
2119,355,49918,869,2,2103100
2655,310,42567,776,2,2441262
2172,326,43436,893,2,2131922
1672,313,46510,883,0,1527938
2052,321,46544,851,1,1916330
2651,315,46705,935,0,2251692
2114,345,44705,474,0,1807704
1524,311,48097,439,0,1296431
2852,348,47893,701,1,2597278
877,345,44483,951,0,934281
931,309,49719,461,0,818570
1400,323,46800,902,0,1301456
2572,345,48382,644,1,2314744
1865,317,47161,417,0,1576112
2936,321,46829,797,1,2553174
2663,308,45779,993,1,2463595
2118,316,46895,588,2,2058797
1415,337,48153,503,2,1491310
2688,339,44794,743,2,2567366
1846,357,43860,770,1,1711617
1374,312,45336,432,2,1444971
2990,349,49748,773,2,2711935
1792,336,49612,577,2,1788619
2992,305,48282,411,1,2560443
2048,320,43890,855,0,1850704
1302,350,46826,648,2,1317989
2797,335,46291,847,2,2655515
1620,306,43097,969,2,1670075
2951,335,43638,403,2,2686655
2770,324,49392,635,1,2482776
997,310,43658,572,0,951136
2469,343,43125,721,0,2143242
2002,313,42263,770,2,1917118
2271,344,44992,947,0,2102415
2446,328,47015,695,2,2310404
2492,309,42160,799,2,2366443
2112,349,43256,457,0,1872017
2835,347,48634,929,0,2431566
1277,304,47906,947,1,1328616
2054,307,46865,807,2,2033124
1722,345,42310,912,0,1569893
1219,304,49818,463,1,1201644
1920,357,42226,973,0,1723607
1750,359,42272,819,0,1582567
2077,323,49081,545,2,1998221
2657,339,46412,671,1,2449742
1316,356,43922,416,2,1441002
2458,325,45157,497,0,2095040
2665,305,44338,851,1,2481845
1941,315,47588,642,2,1865454
2732,359,48872,878,1,2596603
1614,335,47990,600,0,1420513
2700,311,43601,872,1,2452668
2862,310,47888,578,0,2452090
2894,302,45718,907,2,2758898
929,343,49571,852,0,927134
894,336,47546,669,0,770144
2755,305,44422,633,1,2483085
1593,318,43925,885,1,1526187
2634,317,42566,977,2,2561416
2916,315,44915,737,1,2638057
2483,322,48898,847,2,2386418
810,342,42251,983,0,911140
2665,336,47652,756,0,2280249
1511,308,44354,448,1,1486973
2870,302,45501,895,0,2502796
1614,307,46770,745,0,1450960
1145,337,49011,692,2,1333214
1162,303,44311,549,1,1125721
2988,311,44115,981,2,2701323
1784,343,49274,944,0,1575694
2439,330,49567,659,0,2176210
1627,324,43602,721,0,1478858
1155,352,45270,476,1,1149834
2147,315,49359,509,0,1885623
2663,341,42513,946,0,2355679
926,353,48912,822,2,1113981
1403,313,42441,793,1,1378963
2728,312,42000,634,0,2270228
1813,340,48501,729,2,1764702
850,306,47234,724,0,853558
2230,311,42902,550,2,2106055
2592,336,47719,945,0,2308575
2436,349,43220,431,1,2152483
2445,303,49771,671,1,2157127
2005,301,44321,767,2,1989162
2654,334,42855,891,0,2331665
1366,357,43017,715,1,1358814
1735,343,47279,989,0,1615539
2734,302,44220,987,1,2602406
2132,303,49712,971,2,2060328
1001,337,49625,996,1,1073952
916,311,46680,767,0,821323
